Name,Latitude,Longitude,Google_Maps_Link,Link_Type,City,Area,Category,Vehicle_Tag,Ownership,Access,Description
Statiq Charging Station (DLF Mall of India),28.569976,77.32207,https://www.google.com/maps/place/?q=place_id:ChIJyUNwtEjkDDkR-GwFfKnyoto,exact place,Noida,Sector 18,AC+DC Charging,4W,Private Network,Public (basement MLCP),Operator: Statiq | Confidence: High | Notes: Well managed; wifi unavailable in basement per review
Statiq AdWall Charging Station (Parsvnath Prestige),28.5167102,77.3845733,https://www.google.com/maps/place/?q=place_id:ChIJ-xoQh5zoDDkRwjGQjb5ExZI,"exact place (building-level, not charger-precise)",Noida,Sector 93A,AC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page; coordinates are the society's
Statiq Charging Station (Karma Hyundai),28.5582692,77.4026249,https://www.google.com/maps/place/?q=place_id:ChIJ54J_uzTvDDkRecGjdtC67hc,"exact place (building-level, not charger-precise)",Noida,Sector 80,DC Fast Charging,4W,Private Network (at OEM dealership),Public (dealership hours),"Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's own Noida locator page; dealership location, likely 4W-only"
Statiq AdWall Charging Station (Paramount Floraville),28.5097869,77.4069712,https://www.google.com/maps/place/?q=place_id:ChIJ86hdqUTpDDkRKdYwRxt7xAk,"exact place (building-level, not charger-precise)",Noida,Sector 137,AC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page; coordinates are the society's
Statiq Charging Station (Antriksh Forest),28.5681871,77.3900421,https://www.google.com/maps/place/?q=place_id:ChIJx1JZUgbvDDkR98tRtAERWnI,"exact place (building-level, not charger-precise)",Noida,Sector 77,AC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page; coordinates are the society's
"Statiq Charging Station (Boomerang Complex, 60kW)",28.5257568,77.3585795,https://www.google.com/maps/place/?q=place_id:ChIJvwxGk2bnDDkR_dWzM0LAkXw,"exact place (building-level, not charger-precise)",Noida,Sector 128 (Jaypee Wish Town),DC Fast Charging (60kW),4W,Private Network (at private clubhouse),"Public (club, members + guests)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page; coordinates are the clubhouse's
Statiq AdWall Charging Station (Jalvayu Towers),28.5517237,77.3732266,https://www.google.com/maps/place/?q=place_id:ChIJyxaEVPnlDDkRXkLiFIBr1EI,"exact place (building-level, not charger-precise)",Noida,Sector 47,AC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's own Noida locator page; coordinates are the society's
Statiq AdWall Charging Station (Sethi Max Royal),28.5653617,77.3848373,https://www.google.com/maps/place/?q=place_id:ChIJsT_QEVzvDDkRQP3xLFdU4oY,"exact place (building-level, not charger-precise)",Noida,Sector 76,AC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)","Operator: Statiq | Confidence: Low | Notes: Sourced from Statiq's own Noida locator page; coordinates are locality-level only, not building-precise"
Statiq SNTC Noida Hub,28.4978019,77.3912953,https://www.google.com/maps/place/?q=place_id:ChIJrZgszGLoDDkR-sBuus5iZHs,"exact place (building-level, not charger-precise)",Noida,Sector 135 (Nangli Wazidpur),"AC+DC Charging (multi-charger hub, 2 listings merged)",4W,Private Network,Public,"Operator: Statiq | Confidence: Low | Notes: Sourced from Statiq's own Noida locator page (2 separate listings, DC + DCAC, at same hub); coordinates are locality-level only"
Statiq AARGO - Stellar Noida Sector 62,28.6129641,77.3627265,https://www.google.com/maps/place/?q=place_id:ChIJq_ogLmflDDkRBvZ7mB9w0xQ,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 62,AC+DC Charging (1 DC + 2 AC),4W,Private Network (corporate park),Public,Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-3528); coordinates are Stellar IT Park building
Statiq Earthtron EV (Expo Centre),28.6301856,77.3728059,https://www.google.com/maps/place/?q=place_id:ChIJa63wzVblDDkRwDGWKfDINpg,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 62,DC Fast Charging (2 DC),4W,Private Network,Public (Trade Expo Centre),Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-3989)
Statiq Noida Sector 65 Hub,28.6125822,77.3848047,https://www.google.com/maps/place/?q=place_id:ChIJ5fFmFIzvDDkRtUCToRrKFrk,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 65,AC+DC Charging,4W,Private Network,Public,"Operator: Statiq | Confidence: Low | Notes: Sourced from Statiq's indexed station page (id-8120); coordinates are locality-level (plus-code area), not building-precise"
Statiq BPCL Noida Regional Office,28.5882545,77.3099897,https://www.google.com/maps/place/?q=place_id:ChIJAyuqRvXkDDkRXxN1Yqckako,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 1,AC+DC Charging,4W,Private Network (at PSU corporate office),Semi-Public,"Operator: Statiq (at BPCL office) | Confidence: Medium | Notes: Sourced from Statiq's indexed station page (id-7717); rating/reviews reflect the BPCL office generally, not the charger specifically"
Statiq MLCP Noida Sec-18 Charging Hub,28.569976,77.32207,https://www.google.com/maps/place/?q=place_id:ChIJyUNwtEjkDDkR-GwFfKnyoto,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 18,"AC+DC Charging (large multi-port hub, 40+ pricing entries)",4W,Private Network,"Public (MLCP, same site as existing DLF Mall Statiq entry)","Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-8110); likely the same physical hub as the existing Sector 18 DLF Mall Statiq entry, listed as a separate high-capacity hub record -- large multi-port installation"
Statiq Fortum (DLF Mall of India),28.569976,77.32207,https://www.google.com/maps/place/?q=place_id:ChIJyUNwtEjkDDkR-GwFfKnyoto,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 18,AC+DC Charging (24hr),4W,"Private Network (Fortum, listed on Statiq)",Public,"Operator: Fortum (via Statiq network) | Confidence: Medium | Notes: Sourced from Statiq's indexed station page (id-3970); same site as existing DLF Mall entries, different backend operator (Fortum)"
Statiq Arihant Arden,28.5780442,77.4428513,https://www.google.com/maps/place/?q=place_id:ChIJoWHnG-ruDDkRChSvNZe8G5Q,"exact place (building-level, sourced from Statiq's own site)",Noida,Greater Noida (Bisrakh Jalalpur),AC+DC Charging (1 DC + 2 AC),4W,Private (Residential society),Captive (per Statiq's own listing) -- society residents,"Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-1920); Statiq's own listing tags this as 'captive', i.e. restricted"
Statiq AdWall Gaur City 1 (1st Avenue),28.606198,77.4296753,https://www.google.com/maps/place/?q=place_id:ChIJIQSoLFLuDDkRj-r9eaVvsTI,"exact place (building-level, sourced from Statiq's own site)",Noida,Greater Noida W (Gaur City 1),AC Charging,4W,Private (Residential society),Public (society),Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's indexed station page (id-2087); coordinates approximated to Gaur City 1 area (matches existing Adani entry's building)
Statiq Gulshan Bellina,28.6087988,77.4546875,https://www.google.com/maps/place/?q=place_id:ChIJBXFAmV_vDDkRwthP0uN0omk,"exact place (building-level, sourced from Statiq's own site)",Noida,Greater Noida (Panchsheel Greens 2),AC Charging (2 AC),4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-12909)
Statiq Fortune Residency,28.6999424,77.4288189,https://www.google.com/maps/place/?q=place_id:ChIJCeM3rRzxDDkRT9Y0gUcyark,"exact place (building-level, sourced from Statiq's own site)",Noida,"Ghaziabad (Raj Nagar Extension, adjacent to Greater Noida)",AC+DC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)","Operator: Statiq | Confidence: Low | Notes: Sourced from Statiq's indexed station page (id-12915); note this location is Raj Nagar Extension, Ghaziabad, listed by Statiq under Greater Noida -- borderline geographic inclusion"
Statiq Amrapali Sapphire Phase 2,28.5500821,77.3451652,https://www.google.com/maps/place/?q=place_id:ChIJLWStg9nlDDkRZmVV_LR9cJQ,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 45,AC+DC Charging (24hr),4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-6834)
Statiq Savoy Suites Greater Noida,28.4649045,77.5084728,https://www.google.com/maps/place/?q=place_id:ChIJ628Ux3LBDDkRQRqmafF32Vs,"exact place (building-level, sourced from Statiq's own site)",Noida,Greater Noida (Savoy Suites),DC Fast Charging (1 DC),4W,Private Network,Public,"Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-1601); distinct from the Sector 16 Savoy Suites, same hotel chain, Pari Chowk location -- likely same physical site as existing 'Statiq Charging Station (Ascot, Savoy Hotel)' entry"
Statiq ATS Pristine Golf Villas,28.4262739,77.486917,https://www.google.com/maps/place/?q=place_id:ChIJ0xXOLDTBDDkRQEQxano6cp0,"exact place (building-level, sourced from Statiq's own site)",Noida,Sector 150,AC+DC Charging,4W,Private (Residential society),"Public (society, per Statiq's own listing)",Operator: Statiq | Confidence: Medium | Notes: Sourced from Statiq's indexed station page (id-14875)
Statiq AdWall ATS Paradiso (Gate 3),28.4299373,77.5187456,https://www.google.com/maps/place/?q=place_id:ChIJG4J9mVLADDkRR-s-a2opG7c,"exact place (building-level, sourced from Statiq's own site)",Noida,"Greater Noida (Chi IV, ATS Paradiso)",AC Charging (2 AC),4W,Private (Residential society),Captive (per Statiq's own listing) -- open to all EV users per listing text but tagged captive,"Operator: Statiq | Confidence: High | Notes: Sourced from Statiq's indexed station page (id-2238); coordinates are ATS Greens Paradiso, nearest match to 'ATS Paradiso, Lagerstroemia Estate'"
Log9 Charging Station,28.628933,77.3764028,https://www.google.com/maps/place/?q=place_id:ChIJ0XEAu1flDDkR7tyoMvsItFI,exact place,Noida,Sector 63,AC+DC Charging,4W,Private Network (at OEM dealer building),Public (reported unavailable),"Operator: Log9 | Confidence: Medium | Notes: Review: 'not available, please don't come'"
Battery Smart Charging Station,28.589259,77.3204651,https://www.google.com/maps/place/?q=place_id:ChIJUwDLqc7lDDkR_78F-maOCDk,exact place,Noida,Sector 5 (Harola),Battery Swap,2W+3W,Private Swap Network,Public (6am-midnight),Operator: Battery Smart | Confidence: High | Notes: 
Sun Mobility Battery Swapping,28.5557149,77.3444211,https://www.google.com/maps/place/?q=place_id:ChIJCxqpXwDlDDkRoXsF1gEUrRs,exact place,Noida,Sector 45 (Chhalera/Sadarpur),Battery Swap,2W,Private Swap Network,Public,"Operator: Sun Mobility | Confidence: Medium | Notes: Listed under 'car_repair' category on Maps, not EV-specific type -- verify before relying on tag"
